# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
PGC042437|12.6711111|-9.2990556|298.2982451|53.4721632|0.148|0.53|4.1|SABb|6352|3.3|90.7428571428571|14.009|0.073|-20.83|12.563|0.058||13.549|34.839|0.171|92.8538980579547|1.05|2MASXJ12401599-0917565,2MIG1756,6dFJ1240160-091757,AGC520104,IRAS12376-0901,MCG-01-32-035,PGC042437,[RC2]A1237-09
UGC02655|3.312584|43.2397708|149.4391259|-11.9221056|0.823||6.3|Sc|6190.4|3.5|88.4342843191964|14.009|0.326|-20.547|12.812|0.064|||34.556|0.637|81.5079463971469|1.22|2MASXJ03184533+4314269,CGCG540-091,IRAS03154+4303,MCG+07-07-054,PGC012333,UGC02655,UZC031524+43030,[MO2001]J031845.3+431419.7
NGC7646|23.4019347|-11.8606806|65.3737471|-64.4549565|0.144||5.1|SBc|6984.8|24.3|99.7828543526786|14.01|0.5|-21.006|||||35.016|0.157|100.739494681502|0.986|2MASXJ23240695-1151386,6dFJ2324070-115138,IC5318,IRAS23215-1208,MCG-02-59-015,NGC7646,PGC071338,PGC195533
NGC2290|6.8491389|33.4376111|182.4486405|14.4582815|0.457|0.95|1|Sa|5044.6|6.2|72.0657156808036|14.01|0.084|-20.325|||14.43|13.03|34.335|0.214|73.6206787098167|0.906|2MASXJ06505690+3326154,CGCG175-019,LGG139:[G93]003,MCG+06-15-012,NGC2290,PGC019718,PGC2031985,UGC03562,UZC064736+33300
PGC1588608|18.8170015|19.3311274|50.0202903|9.1955245|1.681||||4765|39|68.0714285714286|14.01|0.5|-20.289|||||34.299|0.218|72.4102350557357|1.15|2MASXJ18490117+1919518,CGMW5-07960,PGC1588608
UGC10500|16.649833|57.7241349|87.1008444|40.1767644|0.07||0|S0-a|5213|50.4|74.4714285714286|14.011|0.325|-20.51|||||34.521|0.197|80.2047300985074|1.21|2MASXJ16385940+5743268,CGCG299-008,KAZ076,MCG+10-24-013,PGC058684,UGC10500,UZC163800+57500
ESO575-033|12.9501444|-20.4809722|304.6979532|42.3716988|0.403||-2.3|S0|6869.7|21.3|98.13857421875|14.011|0.364|-20.978|12.3|0.071|||34.989|0.159|99.4946394642973|1.132|2MASXJ12570052-2028515,ESO575-033,ESOLV5750330,MCG-03-33-021,NPM1G-20.0382,PGC044228
NGC5698|14.6207495|38.4542446|66.7605159|65.1705516|0.045||3.1|Sb|3636.9|12.2|51.955712890625|14.012|0.276|-20.007|12.636|0.13|15.336||34.019|0.049|63.6502628442844|1.239|2MASXJ14371464+3827150,2MIG2006,CGCG220-037,IRAS14352+3840,MCG+07-30-038,NGC5698,NIBLES2186,PGC052251,SDSSJ143714.69+382715.2,SDSSJ143714.69+382715.3,UGC09419,UZC143512+38400
NGC4687|12.7899311|35.3520773|128.671978|81.7311381|0.069||-4.8|E|4256.2|1.6|60.8028599330357|14.012|0.074|-20.042|12.77|0.078|15.699|13.012|34.054|0.243|64.6844918710448|0.983|2MASXJ12472374+3521076,CGCG188-021,KUG1244+356,LGG302:[G93]002,MCG+06-28-031,MRK0442,NGC4687,PGC043157,SDSSJ124723.76+352107.4,SDSSJ124723.77+352107.4,SDSSJ124723.77+352107.5,UGC07958,UZC124500+35370
NGC2208|6.3762861|51.9095833|162.6853422|16.8532329|0.644||-1.9|S0|5816.4|28.3|83.0914271763393|14.013|0.245|-20.665|||||34.678|0.183|86.2184638455705|1.238|2MASXJ06223463+5154345,2MIG0830,CGCG260-007,MCG+09-11-010,NGC2208,NPM1G+51.0053,PGC018911,UGC03452,UZC061830+51570
UGC12039|22.4468045|35.5185094|92.4765152|-18.6603001|0.625||3.1|Sb|6039.4|5.3|86.2771414620536|14.013|0.325|-20.769|||||34.782|0.174|90.4482771909796|1.198|2MASXJ22264847+3531072,AGC012039,CGCG514-032,IRAS22244+3515,MCG+06-49-018,PGC068880,UGC12039,UZC222430+35170
ESO474-017|0.7148766|-23.5445113|94.1527361|-85.929508|0.083||-2|S0|6787.8|55.4|96.9685686383929|14.014|0.205|-20.908|12.035|0.075|||34.922|0.165|96.4717545078357|1.106|ESO474-017,ESOLV4740170,MCG-04-02-042,NGC0235B,PGC002570
NGC0867|2.2846625|1.2442057|162.3680195|-54.9321925|0.164||-1.1|S0-a|6424.5|7.1|91.7785714285714|14.014|0.301|-20.811|12.166|0.292|15.383||34.825|0.172|92.2571751297156|1.095|2MASXJ02170480+0114390,AGC001760,CGCG387-065,KPG062A,MCG+00-06-060,NGC0867,NGC0875,NIBLES0305,PGC008718,SDSSJ021704.77+011439.0,SDSSJ021704.77+011439.1,SDSSJ021704.78+011439.1,UGC01760,UZC021430+01000,[EKS2015]RF0319
UGC03252|5.1958861|67.4881667|144.1203142|16.1203476|0.58||5.1|SABc|6114.9|3.1|87.355712890625|14.014|0.325|-20.796|11.982|0.064|||34.81|0.172|91.6221069561905|1.192|2MASXJ05114519+6729174,CGCG307-005,IRAS05065+6725,MCG+11-07-006,PGC016897,UGC03252,UZC050636+67250
NGC5463|14.1029268|9.3534168|351.2385324|64.9559428|0.123||-2|S0|7192.2|35.2|102.745717075893|14.014|0.273|-21.129|12.493|0.074|15.588||35.143|0.148|106.80714621305|1.097|2MASXJ14061051+0921122,CGCG074-102,MCG+02-36-040,NGC5463,PGC050299,SDSSJ140610.54+092112.4,UGC09017,UZC140342+09360,[KG2002]J140610.56+092112.4
NGC0926|2.4352001|-0.3319097|167.1557382|-54.8604709|0.173|0.82|3.8|Sbc|6390.7|3|91.2957170758929|14.016|0.096|-20.794|12.321|0.324|15.507|13.246|34.81|0.173|91.6221069561905|1.244|2MASXJ02260670-0019552,6dFJ0226067-001955,CGCG388-014,IRAS02235-0033,MCG+00-07-011,NGC0926,PGC009256,SDSSJ022606.70-001954.9,SDSSJ022606.71-001954.8,SDSSJ022606.71-001954.9,UGC01901,UZC022336-00330,[EKS2015]RF0325,[ISI96]0223-0033
NGC4966|13.1048053|29.0631308|64.3697277|86.1964286|0.048||2.4|SABa|7021.4|11.1|100.305712890625|14.016|0.102|-21.09|12.266|0.146|15.617|13.316|35.106|0.15|105.002538513261|1.013|2MASXJ13061725+2903471,AGC008194,CGCG160-137,IRAS13039+2919,LAMOSTJ130617.28+290347.4,LAMOSTJ130617.29+290347.6,MCG+05-31-131,NGC4966,PGC045358,SDSSJ130617.29+290347.4,SDSSJ130617.30+290347.4,UGC08194,UZC130354+29200,[MO2001]J130617.3+290346.4,[RGD2016]J130617.29+290347.5
NGC5626|14.4969667|-29.7484444|327.1977434|28.446518|0.338||-0.9|S0-a|6890.4|11.9|98.4342843191964|14.018|0.174|-20.984|||||35.002|0.158|100.092095191412|1.137|2MASXJ14294908-2944544,ESO447-008,ESOLV4470080,FLASHJ142949.12-294451.9,MCG-05-34-015,NGC5626,PGC051794
UGC06103|11.0330535|45.2280067|165.9762582|61.6885082|0.038|0.55|4.5|SBc|5995|2.3|85.6428571428571|14.019|0.114|-20.748|13.233|0.131|15.209|13.509|34.767|0.176|89.8255030787708|0.879|2MASXJ11015898+4513406,CGCG241-061,IRAS10591+4529,KUG1059+454,MCG+08-20-069,MRK0161,NIBLES1151,PGC033280,SDSSJ110158.99+451340.9,UGC06103,UZC105906+45300,[RC2]A1059+45
ESO507-046|12.9289413|-26.8091413|304.1182724|36.0527409|0.33||-4.7|E|4575.4|14.8|65.3628557477679|14.02|0.223|-20.054|12.03|0.074|||34.074|0.241|65.2830238674355|1.097|2MASXJ12554408-2648336,ESO507-046,ESOLV5070460,MCG-04-31-006,PGC044073
NGC6478|17.81065|51.1572222|78.4961373|30.4108235|0.19||4.9|Sc|6776|2.8|96.8|14.02|0.324|-21.047|11.722|0.064|||35.067|0.153|103.133621605158|1.161|2MASXJ17483834+5109260,CGCG278-033,IRAS17474+5110,MCG+09-29-032,NGC6478,PGC060896,UGC10998,UZC174730+51120
NGC3693|11.4698978|-13.1943556|273.70029|44.9007695|0.185||3|Sb|4951.7|2.7|70.73857421875|14.02|0.797|-20.243|11.575|0.075|||34.263|0.222|71.2196930633262|1.367|2MASXJ11281163-1311395,2MFGC08969,6dFJ1128116-131140,HIPASSJ1128-13,IRAS11256-1255,MCG-02-29-032,NGC3693,NPM1G-12.0359,PGC035299
NGC7319|22.601002|33.9759184|93.2838072|-20.9871351|0.342||4|Sbc|6643|39.4|94.9|14.02|0.304|-20.969|||14.34|13.483|34.989|0.16|99.4946394642973|1.223|2MASXJ22360355+3358327,ARP319:,CGCG514-064,HCG092C,IRAS22337+3342,MCG+06-49-041,NGC7319,NPM1G+33.0466,PGC069269,UGC12102,UZC223348+33430,VV288:
PGC029136|10.0547159|-14.9450953|253.6436715|31.4016253|0.267||5.8|SBc|4857.6|8.4|69.394287109375|14.02|0.5|-20.169|12.495|0.075|||34.189|0.229|68.8334972062255|1.205|2MASXJ10031699-1456423,6dFJ1003170-145642,MCG-02-26-027,PGC029136
NGC3441|10.8753081|7.2248995|242.6561095|55.4925246|0.144||3.5|Sbc|6525.1|3.3|93.2157156808036|14.021|0.362|-20.874|13.295|0.062|15.412||34.895|0.166|95.279636488069|0.897|2MASXJ10523110+0713295,2MIG1497,AGC005993,ARK263,CGCG038-040,MCG+01-28-017,NGC3441,PGC032642,SDSSJ105231.11+071329.6,UGC05993,UZC104954+07300
UGC10097|15.9286889|47.8672967|75.7567732|48.795978|0.077||-2.2|S0|5966.8|57.4|85.2399972098214|14.021|0.324|-20.775|||||34.796|0.174|91.0333000983437|1.151|2MASXJ15554330+4752024,CGCG250-021,MCG+08-29-023,PGC056398,SDSSJ155543.26+475202.1,UGC10097,UZC155412+48000
NGC3468|10.9586578|40.9461417|175.0193676|62.8370089|0.055||-2.1|S0|7521.2|2.7|107.445717075893|14.021|0.313|-21.231|12.435|0.133|15.557||35.252|0.141|112.305177934512|1.177|2MASXJ10573116+4056463,CGCG213-010,MCG+07-23-006,NGC3468,NIBLES1136,PGC032940,SDSSJ105731.16+405646.1,SDSSJ105731.17+405646.1,UGC06048,UZC105436+41130,[MKB2002]J105731.17+405645.3
UGC03578|6.8723667|15.2491389|199.3914213|7.0837454|0.572||2|SBab|4530.5|4.5|64.7214285714286|14.022|0.323|-20.032|||||34.054|0.243|64.6844918710448|1.147|2MASXJ06522052+1514569,CGCG085-012,IRAS06494+1518,KPG121B,MCG+03-18-001,PGC019763,UGC03578,UZC064930+15190
NGC0561|1.4718779|34.3086622|131.5470992|-27.9454248|0.21||1.1|Sa|4673.6|6.2|66.7657156808036|14.022|0.323|-20.186|12.242|0.064|||34.208|0.228|69.4384529793694|1.146|2MASXJ01281877+3418313,AGC001048,CGCG521-032,IRAS01254+3403,LAMOSTJ012818.75+341831.0,LGG026:[G93]010,MCG+06-04-029,NGC0561,PGC005489,UGC01048,UZC012524+34030
UGC07064|12.0787072|31.1772788|188.4980731|79.0340094|0.078||3.1|SBb|7494.3|1.2|107.06142578125|14.022|0.251|-21.218|12.904|0.061|15.344|13.92|35.24|0.142|111.686411107433|0.928|2MASSJ12044331+3110378,2MASXJ12044338+3110379,AGC007064,CGCG158-009,IRAS12021+3126,KUG1202+314A,MCG+05-29-005,NRGb181.002,PGC038227,SDSSJ120443.31+311038.2,SDSSJ120443.32+311038.2,SDSSJ120443.32+311038.3,UGC07064,UZC120206+31270
IC5306|23.3031614|10.245457|88.6084383|-46.3189492|0.216||1.5|Sab|7596|44|108.514285714286|14.023|0.234|-21.217|13.59|0.1|||35.24|0.142|111.686411107433|0.819|2MASXJ23181133+1014457,AGC330208,CGCG431-036,IC5306,IC5307,MCG+02-59-022,NGC7594,PGC070992
UGC06311|11.2986028|-2.0919444|261.5907326|53.103579|0.19|0.675|5.3|SABc|7407|4.6|105.814285714286|14.023|0.144|-21.145|12.457|0.184||13.413|35.168|0.147|108.043800794727|1.107|2MASXJ11175497-0205310,CGCG011-046,IRAS11153-0148,MCG+00-29-011,PGC034521,UGC06311,UZC111524-01490,[RC2]A1115-01
NGC6972|20.8330558|9.8990859|56.5904178|-20.8026633|0.301||-0.1|S0-a|4452.8|5.8|63.61142578125|14.023|0.429|-20.109|||||34.132|0.236|67.05018707397|1.089|2MASXJ20495898+0953565,CGCG425-011,MCG+02-53-004,NGC6972,NPM1G+09.0513,PGC065485,UGC11640,UZC204736+09430
IC0238|2.5896333|12.8376667|158.5000164|-42.7425366|0.397||-1.9|S0|6007|60|85.8142857142857|14.024|0.323|-20.669|||||34.693|0.183|86.8160772838287|1.139|2MASXJ02352268+1250156,2MIG0302,CGCG439-018,IC0238,MCG+02-07-016,PGC009835,UGC02070,UZC023236+12360
UGC06846|11.8768722|23.5824167|224.62593|76.2553193|0.129|1.01|-5|E|6842|39.1|97.7428571428571|14.026|0.148|-21.003||||13.026|35.029|0.156|101.344425644297|1.035|2MASXJ11523674+2334567,CGCG127-086,MCG+04-28-079,PGC037206,UGC06846,UZC115000+23530
IC5357|23.789712|-2.3006949|88.5077632|-60.8171092|0.146||-3.2|E-S0|6922.4|19.8|98.8914271763393|14.028|0.185|-20.988|12.062|0.114|||35.016|0.158|100.739494681502|1.2|2MASXJ23472298-0218025,HCG097A,IC5357,MCG-01-60-033,PGC072408,PGC196632,SS2b312.029
UGC12476|23.2841194|30.3350278|99.834818|-28.2686773|0.366||-0.1|S0-a|6263.6|17.3|89.4800013950893|14.028|0.323|-20.825|||||34.853|0.17|93.4544806128579|1.117|2MASXJ23170283+3020061,2MIG3145,AGC012476,CGCG496-073,MCG+05-54-057,PGC070926,UGC12476,UZC231436+30040
NGC1100|2.7600268|-17.688886|199.2028356|-62.0574844|0.12|0.95|1.1|Sa|7522.5|6.2|107.464285714286|14.028|0.197|-21.115|11.839|0.088|14.388|13.118|35.143|0.148|106.80714621305|1.215|2MASXJ02453607-1741201,6dFJ0245361-174120,ESO546-018,ESOLV5460180,HCG021B,MCG-03-08-016,NGC1100,PGC010438,PGC879280
NGC6508|17.8295833|72.0211667|102.7404169|30.4471314|0.162||-4.9|E|7637|30|109.1|14.028|0.262|-21.294|||||35.322|0.137|115.984437137635|1.111|2MASXJ17494650+7201162,CGCG340-021,MCG+12-17-010,NGC6508,PGC060938,UGC11023,UZC175042+72020
NGC5393|14.0089009|-28.8746004|320.7078465|31.600973|0.255||1.1|SBa|5990.4|16.5|85.5771414620536|14.029|0.192|-20.664|11.89|0.077|||34.693|0.183|86.8160772838287|0.977|2MASXJ14003201-2852283,6dFJ1400320-285229,ESO445-087,ESOLV4450870,FLASHJ140032.02-285227.8,IRAS13576-2838,MCG-05-33-035,NGC5393,PGC049863
NGC7323|22.6148894|19.1438669|84.1178689|-33.3989235|0.178||3|Sb|5600.1|4.3|80.0014299665179|14.029|0.086|-20.572|||||34.601|0.19|83.2147567295189|1.068|2MASXJ22365362+1908379,AGC012108,CGCG452-034,HIPASSJ2237+19,IRAS22344+1853,KPG569A,MCG+03-57-025,NGC7323,PGC069311,UGC12108,UZC223436+18530
NGC6636|18.3674601|66.616512|96.5548121|27.62662|0.207||4.6|Sc|4377.6|35.8|62.5371442522321|14.029|0.41|-20.141|||||34.17|0.232|68.2338118772196|1.284|2MASXJ18220287+6636596,2MFGC14365,7ZW790:,CGCG322-041:,KAZ198,KPG536A,MCG+11-22-046,NGC6636,PGC061782,UGC11221:,UZC182200+66360,VV368,VV679:
NGC3997|11.9633997|25.2706117|218.698547|77.832717|0.09|0.525|3|SBb|4770.2|2.3|68.1457170758929|14.03|0.074|-20.233|13.295|0.104|15.066|13.46|34.263|0.221|71.2196930633262|1.041|2MASXIJ1157489+251615,2MASXJ11574822+2516142,AGC006942,CGCG127-114,IRAS11552+2532,KUG1155+255B,LCSB_L482O,LGG260:[G93]003,MCG+04-28-102,NGC3997,PGC037629,PGC1730844,SDSSJ115748.24+251614.1,UGC06942,UZC115512+25330
IC0093|1.3173005|-17.0602866|156.7171169|-78.0805351|0.098||3|Sb|5973.4|5.8|85.3342843191964|14.03|0.5|-20.617|12.546|0.073|||34.647|0.186|84.9962708599115|1.081|2MASXJ01190234-1703374,IC0093,IC1671,IRAS01165-1719,MCG-03-04-043,PGC004724,PGC889345
NGC4043|12.0397096|4.3298241|273.6110929|64.3721024|0.086||-1.3|S0-a|6426.9|4.6|91.8128557477679|14.03|0.24|-20.837|12.725|0.091|15.245||34.867|0.168|94.0589477586377|0.979|2MASXJ12022296+0419473,AGC007015,CGCG041-026,IRAS11597+0437,LAMOSTJ120222.97+041947.3,MCG+01-31-012,NGC4043,PGC038010,SDSSJ120222.96+041947.3,SDSSJ120222.96+041947.4,UGC07015,UZC115948+04370,[EKS2015]RS0612
ESO494-022|8.0922047|-24.815798|243.336113|3.7418145|0.863||1|Sa|5903.8|26.8|84.3399972098214|14.03|0.2|-20.555|||||34.585|0.191|82.60376013065|1.323|2MASXJ08053136-2449022,2MASXJ08053248-2448519,CGMW2-02156,ESO494-022,ESOLV4940220,PGC022716,PGC136891,ZOAG243.33+03.75,ZOAG243.34+03.74
PGC072803|23.9027987|0.3828544|94.0207232|-59.2357363|0.186||-2.1|S0|7835.2|3.4|111.931431361607|14.03|0.12|-21.257|12.332|0.406|15.904||35.287|0.139|114.129982258723|1.188|2MASXJ23541007+0022587,ARP323:,CGCG381-060:,HCG098A,KPG595A,MCG+00-60-058,NGC7783:,NIBLES2588,PGC072803,SDSSJ235410.07+002258.1,SDSSJ235410.07+002258.2,SDSSJ235410.08+002258.2,SDSSJ235410.08+002258.3,UGC12837:,UZC235136+00060,VV208:
IC1498|23.5315686|-5.0069775|78.816717|-60.8706192|0.197||1.4|SBa|5186.8|5.1|74.0971400669643|14.03|0.354|-20.34|11.745|0.09|||34.37|0.21|74.8169132497708|1.35|2MASXJ23315364-0500252,2MFGC17655,2MIG3170,6dFJ2331537-050025,IC1498,MCG-01-60-002,PGC071677
ESO529-011|20.8983476|-25.4725231|20.3706059|-37.250364|0.295||5.9|SBc|6074.1|8|86.7728585379464|14.03|0.5|-20.693|12.435|0.075|||34.723|0.18|88.0237597400973|1.166|2MASXJ20535406-2528210,6dFJ2053541-252821,AGC033902,ESO529-011,IRAS20509-2539,MCG-04-49-007,NGC6993,PGC065671
NGC3327|10.6660898|24.0912595|211.353325|60.2891479|0.117||3.1|Sb|6307.5|3.6|90.1071428571429|14.031|0.314|-20.945|12.565|0.123|15.379||34.976|0.091|98.9009237286629|1.101|2MASXJ10395794+2405284,AGC005803,CGCG124-051,MCG+04-25-038,NGC3327,PGC031729,SDSSJ103957.93+240528.4,SDSSJ103957.93+240528.5,UGC05803,UZC103712+24210
NGC3428|10.8581962|9.2795262|239.4634975|56.542716|0.135||3|Sb|8012.2|9.8|114.460002790179|14.032|0.274|-21.313|12.835|0.212|15.463||35.345|0.135|117.219602450329|1.145|2MASXJ10512951+0916464,AGC005968,ALFALFA5-344,CGCG066-045,MCG+02-28-022,NGC3428,PGC032552,SDSSJ105129.50+091646.2,UGC05968,UZC104848+09330
UGC03936|7.6174556|13.6010556|205.6545922|16.1554762|0.335||4|SBbc|4721.6|3.1|67.4514299665179|14.032|0.322|-20.119|||||34.151|0.233|67.6394699000227|1.095|2MASXJ07370284+1336038,AGC003936,CGCG058-011,IRAS07342+1342,MCG+02-20-004,PGC021401,UGC03936,UZC073418+13430
NGC4926|13.0315955|27.6244281|45.5934908|87.6259949|0.039|1.03|-3.1|E-S0|7856.4|1.9|112.234284319196|14.032|0.064|-21.165|12.463|0.142|15.683|12.992|35.197|0.237|109.496369359685|1.091|2MASXJ13015375+2737277,CGCG160-103,DRCG27-049,GIN759,MCG+05-31-103,NGC4926,PGC044938,SDSSJ130153.72+273727.9,SDSSJ130153.73+273728.0,UGC08142,UZC125930+27530,[RGD2016]J130153.73+273728.0
IC0442|6.6033988|82.9692408|130.7717139|26.4438634|0.28||0|S0-a|4297.8|86.1|61.3971400669643|14.035|0.487|-20.078|||||34.113|0.242|66.4660381475411|1.096|2MASXJ06361228+8258088,CGCG362-022,CGCG363-005,IC0442,KPG113A,MCG+14-04-003,NPM1G+83.0016,PGC019306,UGC03470,UZC062500+83000
NGC4719|12.8357542|33.1591534|125.5050626|83.962697|0.057||3|SBb|7077.9|5.8|101.112855747768|14.035|0.303|-21.096|12.945|0.062|15.415||35.131|0.149|106.21848524413|1.153|2MASXJ12500870+3309330,AGC007987,CGCG188-024,IRAS12477+3325,KIG0553,KUG1247+334,MCG+06-28-035,MRK0446,NGC4719,PGC043428,SDSSJ125008.71+330932.9,SDSSJ125008.72+330933.0,UGC07987,UZC124742+33250,[RGD2016]J125008.71+330932.9
IC1784|2.2702194|32.6495278|142.8927211|-26.915111|0.433||4|Sbc|4815.9|2|68.7985700334821|14.035|0.036|-20.21|12.142|0.064||13.139|34.245|0.223|70.6317206835865|1.145|2MASXJ02161279+3238583,AGC001744,CGCG504-041,IC1784,IRAS02132+3225,KPG061A,KUG0213+324,LGG055:[G93]001,MCG+05-06-019,PGC008676,UGC01744,UZC021312+32250
IC0164|1.8190036|-3.9043865|156.1204544|-62.9962511|0.101||-3.9|E|5208.4|14.8|74.405712890625|14.038|0.246|-20.314|||||34.352|0.213|74.1993734477117|1.2|2MASXJ01490840-0354157,6dFJ0149084-035416,IC0164,MCG-01-05-037,PGC006666
NGC0061B|0.2733602|-6.317895|99.5455455|-67.584817|0.153||-1.8|S0|8133.4|42.1|116.191427176339|14.04|0.5|-21.316|||||35.356|0.135|117.814785960431|1.127|MCG-01-01-063,NGC0061B,PGC001085,VV742:
NGC6898|20.3522332|-12.3588966|31.6261958|-25.4181187|0.307||1.1|Sa|5687.6|34.5|81.2514299665179|14.04|0.5|-20.561|12.265|0.072|||34.601|0.19|83.2147567295189|1.013|2MASXJ20210802-1221320,6dFJ2021080-122132,IRAS20183-1231,MCG-02-52-002,NGC6898,PGC064517
UGC12474|23.2786758|33.9958532|101.3980915|-24.8844776|0.313||1|Sa|5113.4|5.7|73.0485700334821|14.04|0.321|-20.381|||||34.421|0.206|76.5949764306754|1.047|2MASXJ23164323+3359451,2MIG3144,CGCG516-002,IRAS23143+3343,KIG1013,MCG+06-51-002,PGC070909,UGC12474,UZC231418+33430
NGC7165|21.9905803|-16.5123479|38.7626254|-48.9070551|0.173||2.2|Sab|5192.8|17|74.1828543526786|14.04|0.354|-20.347|12.38|0.077|||34.387|0.21|75.4050109794025|1.051|2MASXJ21592607-1630446,6dFJ2159261-163044,IRAS21567-1645,MCG-03-56-002,NGC7165,PGC067788
UGC12214|22.8502688|31.3748112|94.7757145|-24.8314741|0.332||2.3|Sab|6565|38.8|93.7857142857143|14.041|0.321|-20.908|||||34.949|0.162|97.6787880481209|1.04|2MASXJ22510095+3122299,CGCG495-036,KPG574A,MCG+05-53-020,PGC069858,UGC12214,UZC224836+31060
IC1215|16.2597694|68.3976111|101.3016441|39.0498453|0.144|0.596|3.8|SBbc|7744.7|6.6|110.63857421875|14.041|0.301|-21.304|||14.311|13.7|35.345|0.135|117.219602450329|0.957|2MASXJ16153517+6823514,CGCG320-017,CGCG338-049,IC1215,IRAS16155+6831,KAZ065,MCG+11-20-009A,PGC057638,UGC10315,UZC161536+68320
NGC5504|14.2043945|15.841892|6.0130038|68.1200585|0.067||4.1|Sbc|5198.1|20.2|74.2585728236607|14.043|0.344|-20.428|12.947|0.123|15.309||34.471|0.202|78.379075087193|1.072|2MASXJ14121583+1550310,AGC009085,CGCG103-114,KUG1409+160,MCG+03-36-081,NGC5504,PGC050718,SDSSJ141215.80+155030.8,SDSSJ141215.81+155030.8,UGC09085,UZC140954+16040
NGC7512|23.2058194|31.1256111|99.163399|-27.1325149|0.336||-4.9|E|6752.1|56.9|96.4585728236607|14.044|0.249|-20.972|||||35.016|0.158|100.739494681502|1.278|2MASXJ23122095+3107322,AGC012414,CGCG496-054,MCG+05-54-046,NGC7512,PGC070683,UGC12414,UZC230954+30520
IC5285|23.1163694|22.9364722|93.6847702|-33.9351712|1.023||0|S0-a|6154.7|4.5|87.9242885044643|14.044|0.184|-20.752|||14.464|13.034|34.796|0.173|91.0333000983437|1.119|2MASXJ23065893+2256113,2ZW188,AGC012365,CGCG475-036,IC5285,MCG+04-54-026,NPM1G+22.0687,PGC070497,UGC12365,UZC230424+22400
PGC006447|1.7570691|-3.8271131|154.2318934|-63.3694533|0.092||4.1|SBbc|5459.8|17.1|77.9971400669643|14.045|0.359|-20.41|12.46|0.077||14|34.455|0.203|77.8037207105277|1.076|2MASXJ01452545-0349376,6dFJ0145255-034938,IRAS01428-0404,MCG-01-05-031,PGC006447
NGC3639|11.3599114|18.4584828|230.9575948|67.5981092|0.108||2|Sab|5441.8|8.9|77.7399972098214|14.046|0.317|-20.475|13.099|0.054|15.238||34.521|0.196|80.2047300985074|1.042|2MASXJ11213572+1827293,AGC006374,ARK289,CGCG096-032,MCG+03-29-036,NGC3639,PGC034819,SDSSJ112135.68+182730.8,SDSSJ112135.68+182730.9,UGC06374,UZC111854+18440
NGC0349|1.0307611|-6.7998333|130.3349549|-69.5218652|0.524|1.11|-3.1|E-S0|5989|14.3|85.5571428571429|14.047|0.263|-20.616|11.5|0.077|||34.663|0.184|85.6248137623958|1.127|2MASXJ01015074-0647594,MCG-01-03-068,NGC0349,PGC003687
IC1149|15.9688796|12.070255|23.3685864|43.8297977|0.211||4|Sbc|4681.1|2.6|66.8728585379464|14.048|0.271|-20.215|12.975|0.119|15.397||34.263|0.222|71.2196930633262|1.028|2MASXJ15580799+1204130,AGC010108,CGCG079-015,IC1149,IRAS15557+1212,MCG+02-41-001,PGC056511,SDSSJ155807.97+120413.0,SDSSJ155807.98+120413.0,UGC10108,UZC155548+12130
NGC2333|7.1392628|35.1700742|182.1745366|18.4396531|0.286||1|Sa|4731.1|7.1|67.5871442522321|14.049|0.32|-20.159|||||34.208|0.227|69.4384529793694|0.999|2MASXJ07082133+3510123,CGCG176-018,IRAS07050+3515,LAMOSTJ070821.36+351012.2,MCG+06-16-020,NGC2333,PGC020223,UGC03689,UZC070500+35150
PGC033996|11.1877861|-4.8413056|262.0224063|49.9036883|0.178||-1.5|S0-a|7606.3|36.6|108.66142578125|14.05|0.5|-21.166|12.765|0.071|||35.216|0.144|110.458698218031|1.03|2MASXJ11111603-0450287,6dFJ1111160-045029,MCG-01-29-004,PGC033996
