name,objid,candid,ra,dec,distnr,gals,consolid,tnsid,tnstype,tnsdiscoverydate,tnsdiscoverymag,simbadid,gaiadesignation,gaiaprllx,gaiadist,location
ZTF19acawlex_997139163515015004,ZTF19acawlex,997139163515015004,252.4441178,55.5563691,9.56175422668457,NGC6246,,,,,,,,,,halo
ZTF21acovnps_2262337154315015035,ZTF21acovnps,2262337154315015035,179.1171715,55.1252721,4.376325607299805,NGC3982,,,,,,,,,,nucleus
ZTF20aalyccv_1129452625315015006,ZTF20aalyccv,1129452625315015006,169.6504134,58.0000561,2.2238152027130127,NGC3613,,,,,,,,,,nuclear
ZTF19aatxxyk_1074423502615010001,ZTF19aatxxyk,1074423502615010001,172.4717755,24.9500088,9.646549224853516,UGC06496,,,,,,,,,,star
ZTF20aazlvht_1233201371815015019,ZTF20aazlvht,1233201371815015019,146.5892559,3.0735713,1.016116976737976,IC0564,2020jsh,2020jsh,SN Ia,2020-05-12 03:43:05.952,19.14,,,,,spiral
ZTF20abepklv_1274216872515015000,ZTF20abepklv,1274216872515015000,217.8556607,33.2305505,3.66402006149292,PGC051893,2020lkw,2020lkw,SN II,2020-05-25 10:42:14.400,18.02,,,,,spiral
ZTF22abyomle_2218473851015015004,ZTF22abyomle,2218473851015015004,223.5329963,73.1340068,2.377074956893921,NGC5819,2022abln,2022abln,SN II,2022-11-24 18:55:00.000,17.8,,,,,spiral
ZTF23aanbdhk_2348215060215015020,ZTF23aanbdhk,2348215060215015020,251.2184076,22.5016632,-999.99,UGC10528,,,,,,,,,,halo
ZTF21abirczm_1643215276215015002,ZTF21abirczm,1643215276215015002,190.2748173,50.3927988,2.6613612174987793,NGC4617,2021rix,2021rix,,2021-07-01 04:44:14.004,19.4169,,,,,spiral
ZTF21abgeyin_1625193790215015002,ZTF21abgeyin,1625193790215015002,191.2775196,23.0509257,2.7306888103485107,IC0813,2021qcc,2021qcc,,2021-06-08 06:21:09.000,20.8747,,,,,bulge
ZTF20aavcscj_1201398723515015014,ZTF20aavcscj,1201398723515015014,226.8973894,19.6073126,2.544079303741455,NGC5857 / NGC5859,,,,,,,,,,field
ZTF22aahxllh_1945303943715015002,ZTF22aahxllh,1945303943715015002,189.2225813,27.8620048,3.337822437286377,NGC4559A,2022iyw,2022iyw,,2022-04-30 07:17:41.280,18.6926,,,,,bulge
ZTF20aajcers_1182463723515015011,ZTF20aajcers,1182463723515015011,226.8890012,19.6069507,5.623776435852051,NGC5857 / NGC5859,,,,,,,,,,field
ZTF18adbhnry_2134476214615015000,ZTF18adbhnry,2134476214615015000,161.9497875,12.5780468,2.156050682067871,NGC3379,[WFB2003] 064,,,,,[WFB2003] 064,,,,halo
ZTF20abpyklu_1981461732815015003,ZTF20abpyklu,1981461732815015003,17.1540535,39.6441875,1.8590890169143677,NGC0393,NGC   393,,,,,NGC   393,,,,nucleus
ZTF18aatvacv_680470691015015012,ZTF18aatvacv,680470691015015012,178.9016227,29.9959274,2.705815553665161,NGC3971,,,,,,,,,,nucleus
ZTF20aabqshh_1096541143415015026,ZTF20aabqshh,1096541143415015026,189.4313804,11.8181897,2.4922826290130615,NGC4579,,,,,,,,,,bulge
ZTF21abdauuv_1611190932115015005,ZTF21abdauuv,1611190932115015005,185.5360828,4.2949656,2.4246039390563965,NGC4303,,,,,,,,,,bulge
ZTF21aaetqlu_2152561245215010125,ZTF21aaetqlu,2152561245215010125,200.3461535,0.3422737,2.0996484756469727,NGC5104,,,,,,,,,,nucleus
ZTF20aaqamnu_1227199272115015003,ZTF20aaqamnu,1227199272115015003,185.4080555,4.5073062,2.781435489654541,NGC4303,[RKB2011] 1,,,,,[RKB2011] 1,,,,bulge
ZTF21aajgdlz_1500399752615015010,ZTF21aajgdlz,1500399752615015010,172.4618062,24.9473809,4.829758644104004,UGC06496,,,,,,,,,,star
